House Price,Year of Construction,E&V ID,Bedrooms,Half Bathrooms,Full Bathrooms,Total surface approx.,Garage,Plot surface approx.,Bathrooms
319990,2022,AM-219859,3,1,2,136.29,1,0.0,
186900,1949,AM-219757,3,0,2,124.49,0,566.56,
295000,2001,AM-219751,3,0,2,169.46,2,0.0,
405000,2006,AM-219748,4,0,2,302.4,2,0.0,
154800,1978,AM-219744,2,0,2,113.53,0,1052.18,
1550000,2022,AM-221290,5,1,4,401.81,2,647.5,0
285000,1991,AM-221248,3,0,2,202.71,2,2711.39,0
7500000,2022,AM-221115,6,2,1,866.97,4,6596.38,0
742900,2021,AM-221062,4,1,3,277.87,2,0.0,0
540000,2017,AM-221051,3,0,2,239.04,2,993.1,0
385000,2008,AM-221043,4,0,2,267.37,2,938.47,0
275000,2007,AM-221040,3,0,2,139.08,2,1051.78,0
742900,2021,AM-220971,4,1,3,228.63,2,0.0,0
1500000,1989,AM-220949,4,1,4,335.38,3,0.0,0
4500000,2002,AM-220926,4,1,4,622.91,2,83699.99999999999,0
2650000,2022,AM-220904,5,2,5,535.68,3,2788.28,0
595000,1980,AM-220880,3,0,1,384.99,4,38200.0,0
217000,2022,AM-220758,3,0,2,141.21,0,0.0,0
1550000,2000,AM-220717,4,1,2,371.61,3,242800.0,0
688000,0,AM-220609,3,0,0,117.62,0,0.0,2
2198000,2022,AM-222563,5,2,5,503.53,3,1857.51,
434990,2021,AM-222330,4,1,2,232.82,2,1282.85,
4550000,2021,AM-222313,5,1,1,352.66,0,161.87,
245000,2001,AM-222049,2,1,2,145.11,1,0.0,
898000,2022,AM-222016,4,0,3,326.28,3,4054.95,
230000,1998,AM-221920,3,0,1,105.54,0,971.25,
349990,2022,AM-221736,3,1,2,172.34,2,0.0,
1298500,1986,AM-221693,2,1,1,145.49,2,324.96,
2799900,2009,AM-221660,5,0,4,371.61,2,82200.0,
435000,1988,AM-221552,4,0,2,231.89,2,0.0,
275000,2013,AM-221549,2,0,1,67.08,2,232.29,
375000,2018,AM-221546,4,0,3,217.95,3,0.0,
4250000,1908,AM-221505,7,2,6,927.73,4,25500.0,
1525000,1998,AM-221480,7,1,4,277.97,0,728.43,
399000,2021,AM-221479,2,0,2,120.77,2,789.14,
1789000,2000,AM-221428,5,1,4,343.65,3,0.0,
199999,1952,AM-221367,3,0,1,112.78,0,0.0,
2995000,2014,AM-223541,7,2,5,111.48,0,339900.0,
125000,1958,AM-223479,3,0,2,128.3,0,890.31,
279900,1911,AM-223445,2,0,2,172.8,2,647.5,
2500000,1975,AM-223431,9,0,9,1010.69,0,0.0,
1749000,2022,AM-223424,4,1,4,378.02,2,1052.18,
1550000,2000,AM-223410,4,1,2,371.61,3,242800.0,
689000,2022,AM-223348,3,0,2,262.54,3,8186.79,
659900,2021,AM-223323,4,1,3,280.01,3,849.84,
1350000,1982,AM-223320,3,0,2,185.81,1,647.5,
1420000,1998,AM-223301,4,1,3,398.0,3,28100.0,
1444900,2022,AM-223287,4,0,4,236.35,2,3197.02,
43850000,2022,AM-223078,7,1,8,987.37,0,4815.76,
2999900,2003,AM-223031,5,0,4,323.02,4,16400.0,
1254950,2022,AM-222785,5,0,3,299.71,2,641.02,
3900000,2021,AM-222636,5,0,4,545.53,2,1497.34,
4800000,1960,AM-222618,4,0,1,232.26,0,287300.0,
589000,1949,AM-222608,4,0,2,182.37,1,768.9,
512000,2021,AM-222606,3,0,3,213.68,2,1011.71,
215000,1949,AM-224193,3,0,2,142.7,1,542.28,
575000,2018,AM-224181,2,1,2,161.74,2,202.34,
1150000,2015,AM-224105,3,1,2,162.3,2,0.0,
1495000,1978,AM-224098,4,0,3,213.68,2,0.0,
2700000,2024,AM-224032,5,1,3,376.35,2,0.0,
2675000,2024,AM-224031,5,1,3,376.35,2,0.0,
2650000,2024,AM-224028,5,1,3,376.35,2,0.0,
1007875,2022,AM-223963,3,1,3,262.64,2,0.0,
3880000,2002,AM-223949,5,1,1,451.79,2,2549.52,
1050000,1993,AM-223948,4,1,3,370.03,3,2023.43,
3750000,2005,AM-223922,2,1,2,340.12,2,161.87,
365000,1989,AM-223834,3,0,2,177.35,2,1019.81,
2998500,2024,AM-223781,5,1,3,376.35,2,0.0,
2998500,2024,AM-223780,5,1,3,376.35,2,0.0,
