House Price,Year of Construction,E&V ID,Bedrooms,Full Bathrooms,Total surface approx.,Plot surface approx.,Half Bathrooms,Garage,Bathrooms
1650000,2022,AM-252350,5,3,334.45,1254.53,1,4,0.0
81900,2017,AM-252489,2,2,77.3,0.0,0,0,0.0
625000,1988,AM-252488,4,2,242.01,9145.9,0,4,0.0
18990000,2023,AM-252487,5,5,818.66,1780.62,0,0,0.0
2999000,0,AM-252479,5,3,388.15,1343.56,0,0,0.0
695000,1995,AM-252475,3,3,168.99,505.86,0,2,0.0
1399000,1955,AM-252474,3,2,149.3,566.56,0,0,0.0
149000,1880,AM-252470,6,0,208.1,1618.74,0,2,3.0
274990,2022,AM-252466,3,2,162.58,40.47,1,0,0.0
550000,1953,AM-252464,7,5,315.96,890.31,1,0,0.0
750000,2018,AM-252454,5,3,240.43,1052.18,0,0,0.0
504999,1976,AM-252453,2,0,129.32,6313.1,0,0,1.0
799000,1994,AM-252452,3,2,176.7,971.25,1,2,0.0
499000,2019,AM-252451,3,2,140.66,404.69,0,2,0.0
140000,1958,AM-252448,3,1,125.98,2063.9,0,0,0.0
365000,1962,AM-252446,4,2,215.26,971.25,1,0,0.0
635000,1989,AM-252439,3,2,155.52,0.0,0,2,0.0
379900,2005,AM-252437,4,2,177.07,647.5,0,2,0.0
485000,2022,AM-252436,3,2,159.61,346.01,1,2,0.0
470000,1977,AM-252612,3,2,217.39,2650.69,0,2,
725000,2008,AM-252599,4,3,167.41,464.58,0,0,
750000,1978,AM-252598,5,1,259.94,1254.53,0,2,
675000,0,AM-252596,2,2,193.15,566.56,0,2,
399000,2019,AM-252595,3,2,170.66,779.42,0,2,
1950000,1991,AM-252588,5,2,250.84,0.0,1,0,
469000,1997,AM-252587,3,1,165.27,728.43,0,2,
595000,2006,AM-252578,4,2,193.7,404.69,1,2,
99500,1990,AM-252568,2,1,85.84,0.0,0,0,
2688000,1988,AM-252561,7,7,324.32,970.84,1,3,
2150000,2022,AM-252522,3,3,386.11,12100.0,0,3,
345000,1993,AM-252519,3,2,169.73,837.7,0,2,
519900,1981,AM-252511,3,2,134.8,0.0,0,2,
1275000,2015,AM-252510,3,3,179.86,242.81,1,2,
550000,1985,AM-252507,4,2,242.01,1052.18,1,2,
475000,1972,AM-252494,3,2,175.12,728.43,0,1,
199900,1925,AM-252666,3,1,125.23,566.56,0,0,
350000,2017,AM-252664,2,2,103.03,24300.0,0,2,
3950000,2023,AM-252663,5,1,241.64,161.87,0,1,
257450,1964,AM-252661,2,2,81.85,3358.89,0,0,
1090000,2022,AM-252659,4,3,353.03,728.43,0,1,
299000,1970,AM-252655,4,2,213.31,930.78,1,0,
259900,1975,AM-252652,3,2,159.05,634.14,0,2,
549900,2016,AM-252651,4,3,265.7,10100.0,0,7,
850000,1999,AM-252645,4,3,382.2,3116.08,1,3,
275000,2022,AM-252642,4,2,142.61,364.22,0,0,
1199000,2018,0,5,4,344.67,1732.05,0,4,
296932,1987,0,3,2,98.11,971.25,0,2,
515000,1978,0,4,1,182.46,1497.34,0,2,
640000,1984,0,4,2,279.36,1052.18,1,2,
235000,1971,0,4,2,125.6,1133.12,0,0,
720000,2020,0,3,2,196.03,0.0,0,2,
465000,2020,0,3,2,193.15,0.0,1,2,
1495000,1988,AM-252715,3,4,298.78,0.0,0,2,
1150000,1964,AM-252700,3,2,168.15,0.0,0,0,
499000,2014,AM-252698,5,3,317.36,0.0,2,0,
264990,2022,AM-252695,3,2,158.4,40.47,1,0,
510000,1980,AM-252693,1,1,93.37,0.0,1,1,
215000,1961,AM-252692,3,1,81.75,890.31,0,1,
228900,1988,AM-252691,3,2,125.51,930.78,0,2,
469000,1941,AM-252687,5,2,203.18,404.69,0,1,
255000,0,AM-252686,3,2,135.64,0.0,0,2,
3750000,1996,AM-252684,5,3,562.06,4208.73,1,3,
378000,1974,AM-252683,2,2,122.63,0.0,0,2,
1300000,2016,AM-252682,4,3,322.93,22400.000000000004,1,3,
639000,2016,AM-252680,4,3,238.11,809.37,0,3,
729900,2016,AM-252679,3,2,213.31,364.22,1,0,
325000,1984,AM-252677,3,1,101.64,4330.14,0,0,
1200000,1985,AM-252671,5,3,268.86,0.0,0,0,
6416331,2023,AM-252670,6,6,478.73,0.0,1,2,
1175000,1961,AM-252669,6,4,195.1,716.7,0,0,
1199000,2018,AM-252783,4,3,212.1,0.0,0,2,
1195000,2020,AM-252781,2,2,131.18,0.0,1,3,
285000,1996,AM-252779,3,2,130.25,651.54,0,2,
325000,1955,AM-252776,3,1,86.96,404.69,0,0,
660000,1985,AM-252772,3,2,178.65,4532.48,0,2,
550000,2022,AM-252769,3,2,133.32,485.62,0,2,
240000,2005,AM-252762,3,2,121.89,5099.04,0,0,
229999,2006,AM-252756,4,2,175.22,0.0,0,0,
550000,2022,AM-252749,3,2,133.32,566.56,0,2,
899000,2019,AM-252739,5,4,301.28,283.28,0,2,
899000,2019,AM-252737,5,4,301.28,283.28,0,0,
1650000,2007,AM-252729,4,3,300.82,1659.21,1,2,
789000,0,AM-252728,3,3,262.17,728.43,0,2,
249000,1953,AM-252727,3,1,88.26,0.0,1,0,
799000,1979,AM-252725,4,2,187.39,975.29,0,2,
350000,2015,AM-252723,4,3,203.18,752.31,0,3,
1225000,1991,AM-252719,4,2,209.78,1011.71,1,2,
995000,1998,AM-252718,3,3,276.76,0.0,0,3,
1200000,1911,AM-252861,3,1,182.0,566.56,0,0,
609900,2022,AM-252860,3,2,185.81,0.0,0,0,
549900,2020,AM-252855,2,2,148.64,0.0,0,0,
2100000,1995,AM-252851,6,4,421.97,3197.02,0,4,
1275000,2022,AM-252850,6,5,454.85,0.0,1,0,
